step,e_n,omega_ratio,v_cmd,v_ratio_cap,corner_mode,dist_to_turn,recovery_active
0,0.0000,0.0000,0.0360,0.0400,False,9.95,False
1,0.0000,0.0000,0.0360,0.0400,False,9.80,False
2,0.0000,0.0000,0.0360,0.0400,False,9.50,False
3,0.0000,0.0000,0.0360,0.0400,False,9.10,False
4,0.0000,0.0000,0.0360,0.0400,False,8.70,False
5,0.0000,0.0000,0.0360,0.0400,False,8.30,False
6,0.0000,0.0000,0.0360,0.0400,False,7.94,False
7,0.0000,0.0000,0.0360,0.0400,False,7.58,False
8,0.0000,0.0000,0.0360,0.0400,False,7.22,False
9,0.0000,0.0000,0.0360,0.0400,False,6.86,False
10,0.0000,0.0000,0.0360,0.0400,False,6.50,False
11,0.0000,0.0000,0.0336,0.0267,False,6.23,False
12,0.0000,0.0000,0.0317,0.0267,False,5.97,False
13,0.0000,0.0000,0.0301,0.0267,False,5.70,False
14,0.0000,0.0000,0.0289,0.0267,False,5.43,False
15,0.0000,0.0000,0.0279,0.0267,False,5.17,False
16,0.0000,0.0000,0.0271,0.0267,False,4.90,False
17,0.0000,0.0000,0.0265,0.0267,False,4.63,False
18,0.0000,0.0000,0.0260,0.0267,False,4.37,False
19,0.0000,0.0000,0.0256,0.0267,False,4.12,False
20,0.0000,0.0000,0.0253,0.0267,False,3.87,False
21,0.0000,0.0000,0.0250,0.0267,False,3.62,False
22,0.0000,0.0000,0.0248,0.0267,False,3.37,False
23,0.0000,0.0000,0.0247,0.0267,False,3.12,False
24,0.0000,0.0000,0.0237,0.0133,False,2.99,False
25,0.0000,0.0000,0.0230,0.0133,False,2.86,False
26,0.0000,0.0000,0.0224,0.0133,False,2.72,False
27,0.0000,0.0000,0.0219,0.0133,False,2.60,False
28,0.0000,0.0000,0.0215,0.0133,False,2.47,False
29,0.0000,0.0000,0.0212,0.0133,False,2.33,False
30,0.0000,0.0000,0.0210,0.0133,False,2.20,False
31,0.0001,1.0000,0.0208,0.0133,False,2.07,False
32,0.0007,1.0000,0.0206,0.0133,False,1.93,False
33,0.0020,1.0000,0.0205,0.0133,False,1.80,False
34,0.0047,1.0000,0.0204,0.0133,False,1.67,False
35,0.0093,1.0000,0.0203,0.0133,False,1.53,False
36,0.0168,1.0000,0.0203,0.0133,False,1.40,False
37,0.0252,1.0000,0.0202,0.0100,False,1.30,False
38,0.0372,1.0000,0.0202,0.0100,False,1.20,False
39,0.0536,1.0000,0.0201,0.0100,False,1.10,False
40,0.0754,1.0000,0.0201,0.0100,False,1.00,False
41,0.1033,0.6000,0.0201,0.0100,True,0.91,False
42,0.1372,0.6000,0.0201,0.0100,True,0.81,False
43,0.1769,0.6000,0.0201,0.0100,True,0.72,False
44,0.2223,0.6000,0.0200,0.0100,True,0.63,False
45,0.2732,0.6000,0.0200,0.0100,True,0.55,False
46,0.3295,0.6000,0.0200,0.0100,True,0.46,False
47,0.3853,0.6000,0.0200,0.0100,True,9.61,False
48,0.3178,-0.7212,0.0090,0.0100,False,9.55,False
49,0.2541,-0.5078,0.0090,0.0100,False,9.49,False
50,0.1946,-0.3098,0.0090,0.0100,False,9.42,False
51,0.1394,-0.1283,0.0090,0.0100,False,9.35,False
52,0.0829,0.0370,0.0112,0.0100,False,9.27,False
53,0.0311,0.2093,0.0130,0.0100,False,9.18,False
54,-0.0160,0.3651,0.0144,0.0100,False,9.09,False
55,-0.0589,0.5062,0.0155,0.0100,False,9.00,False
56,-0.0980,0.6000,0.0164,0.0100,False,8.91,False
57,-0.1339,0.6000,0.0171,0.0100,False,8.82,False
58,-0.1670,0.6000,0.0177,0.0100,False,8.72,False
59,-0.1979,0.6000,0.0182,0.0100,False,8.63,False
60,-0.2269,0.6000,0.0185,0.0100,False,8.53,False
61,-0.2543,0.6000,0.0188,0.0100,False,8.43,False
62,-0.2802,0.6000,0.0191,0.0100,False,8.34,False
63,-0.3048,0.6000,0.0192,0.0100,False,8.24,False
64,-0.3258,0.8500,0.0090,0.0100,False,8.15,False
65,-0.3454,0.8500,0.0090,0.0100,False,8.07,False
66,-0.3636,0.8500,0.0090,0.0100,False,7.98,False
67,-0.3800,0.8500,0.0090,0.0100,False,7.89,False
68,-0.3943,0.8500,0.0090,0.0100,False,7.80,False
69,-0.4060,0.8500,0.0090,0.0100,False,7.71,False
70,-0.4146,0.8500,0.0090,0.0100,False,7.62,False
71,-0.4195,0.8500,0.0090,0.0100,False,7.53,False
72,-0.4199,0.8500,0.0090,0.0100,False,7.44,False
73,-0.4151,0.8500,0.0090,0.0100,False,7.35,False
74,-0.4047,0.8500,0.0090,0.0100,False,7.26,False
75,-0.3888,0.8500,0.0090,0.0100,False,7.17,False
76,-0.3673,0.8500,0.0090,0.0100,False,7.09,False
77,-0.3403,0.8500,0.0090,0.0100,False,7.00,False
78,-0.3081,0.8500,0.0090,0.0100,False,6.92,False
79,-0.2706,0.8500,0.0090,0.0100,False,6.83,False
80,-0.2280,0.6956,0.0090,0.0100,False,6.75,False
81,-0.1807,0.4689,0.0090,0.0100,False,6.68,False
82,-0.1288,0.2237,0.0090,0.0100,False,6.60,False
83,-0.0666,-0.0376,0.0112,0.0100,False,6.53,False
84,-0.0004,-0.3374,0.0130,0.0100,False,6.45,False
85,0.0693,-0.6000,0.0144,0.0100,False,6.38,False
86,0.1420,-0.6000,0.0155,0.0100,False,6.31,False
87,0.2170,-0.6000,0.0164,0.0100,False,6.25,False
88,0.2938,-0.6000,0.0171,0.0100,False,6.18,False
89,0.3717,-0.6000,0.0177,0.0100,False,6.12,False
90,0.4422,-0.8500,0.0090,0.0100,False,6.06,False
91,0.5126,-0.8500,0.0090,0.0100,False,6.01,False
92,0.5824,-0.8500,0.0090,0.0100,False,5.95,False
93,0.6508,-0.8500,0.0090,0.0100,False,5.89,True
94,0.7174,-0.8500,0.0090,0.0100,False,5.83,True
95,0.7813,-0.8500,0.0090,0.0100,False,5.77,True